id;lat;long;fna;gna;nam;sag;cpd;cnr;cde;nde;nba;tes;cat;dom;tel;nrs;cp1;nor;mod;mai
19.00;-33.37245959;-60.298290434;C.A.P.S. Villa Canto;C.A.P.S.;Villa Canto;Dis. Ministerio de Salud BA;76300465;50067632201365;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;A. Troilo N° 2593 Bo. Villa Canto;-;IV;2900;Centro Atención Primaria Socio Sanitaria Villa Canto;Sin internación;
20.00;-33.34881313;-60.316002166;Centro de Atención 24 horas M. Ramírez;Centro de Atención 24 horas;M. Ramírez;Dis. Ministerio de Salud BA;76300422;50067632202430;763;SAN NICOLAS;LA EMILIA;Municipal;C.A.P.S;Beltrán N° 255;0336-480878;IV;2900;CENTRO DE ATENCIÓN 24 HS. MIGUEL RAMÍREZ (LA EMILIA);Sin internación;
21.00;-33.34910540;-60.202800476;C.A.P.S. S. San. R. E. Mayor;C.A.P.S.;S. San. R. E. Mayor;Dis. Ministerio de Salud BA;76300511;50067632201162;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Boer N° 430 Bo. Villa Campi;-;IV;2900;Centro Atención Primaria Socio Sanitaria Rosa Mayor (Villa Campi);Sin internación;
22.00;-33.59801952;-60.358049153;C.A.P.S. S. San. Conessa;C.A.P.S.;S. San. Conessa;Dis. Ministerio de Salud BA;76300015;50067632201833;763;SAN NICOLAS;CONESA;Municipal;C.A.P.S;Rivadavia y Formosa S/N;0336-4492041;IV;2907;Centro Atención Primaria Socio Sanitaria Conessa;Sin internación;
23.00;-33.36727187;-60.201613655;C.A.P.S. S. San. Ntra. Sra. de Guadalupe;C.A.P.S.;S. San. Ntra. Sra. de Guadalupe;Dis. Ministerio de Salud BA;76300350;50067632201160;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Municipal;C.A.P.S;Del Pozo y Jujuy;-;IV;2900;Centro Atención Primaria Socio Sanitaria Nuestra Señora de Guadalupe;Sin internación;
24.00;-33.33545730;-60.222929442;Hosp. Interz. Gral. de Ag. San Felipe;Hosp. Interz.;Gral. de Ag. San Felipe;Dis. Ministerio de Salud BA;76300074;10067632100395;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Provincial;Hospital;Avda. Moreno N° 31;0336-4242054/2880int;IV;2900;Hospital Interzonal General de Agudos San Felipe;Con Internación;personal.sfelipe@ms.gba.gov.ar
25.00;-33.47406532;-60.287105640;C.A.P.S. S. San. A. Clerici;C.A.P.S.;S. San. A. Clerici;Dis. Ministerio de Salud BA;76300023;50067632201107;763;SAN NICOLAS;GENERAL ROJO;Municipal;C.A.P.S;Av. San Martín N° 105;0336-4491015;IV;2905;CENTRO ATENCIÓN PRIMARIA SOCIO SANITARIA ALDO CLERICI;Sin internación;
26.00;-33.51670000;-60.316699999;C.A.P.S. S. San. Erezcano;C.A.P.S.;S. San. Erezcano;Dis. Ministerio de Salud BA;76300210;50067632201239;763;SAN NICOLAS;FREZCANO;Municipal;C.A.P.S;Ruta Nac. 188 y Corriego;-;IV;2903;Centro Atención Primaria Socio Sanitaria Erezcano;Sin internación;
27.00;-33.42156353;-60.260488035;C.A.P.S. Villa Esperanza;C.A.P.S.;Villa Esperanza;Dis. Ministerio de Salud BA;76300376;50067632201603;763;SAN NICOLAS;VILLA ESPERANZA;Municipal;C.A.P.S;Ruta 188 Bo. Villa Esperanza;-;IV;2903;Centro de Atención Primaria Villa Esperanza;Sin internación;
28.00;-33.40117048;-60.239139895;C.A.P.S. S. San. Campo Salles;C.A.P.S.;S. San. Campo Salles;Dis. Ministerio de Salud BA;76300261;50067632201585;763;SAN NICOLAS;CAMPOS SALLES;Municipal;C.A.P.S;Sanz N° 3170;-;IV;2903;Centro Atención Primaria Socio Sanitaria Campos Salles;Sin internación;
29.00;-33.33794618;-60.211576335;C.P.A.(Centro Provincial de Atención)-Adicciones;C.P.A.;Centro Provincial de Atención;Dis. Ministerio de Salud BA;76300864;50067632119687;763;SAN NICOLAS;SAN NICOLAS DE LOS ARROYOS;Provincial;Salud Mental - Adicciones;Falcon N° 272 P.A.;0336-4436768;IV;2900;C.P.A.(Centro Provincial de Atención)-Adicciones;Sin internación;
31.00;-33.63649375;-59.987752295;Unidad Sanitaria Las Bahamas;Unidad Sanitaria;Las Bahamas;Dis. Ministerio de Salud BA;66500245;;665;RAMALLO;LAS BAHAMAS;Municipal;C.A.P.S;Ruta 9 Km. 183;-;IV;2916;Unidad Sanitaria Las Bahamas;Sin internación;
32.00;-33.76659003;-60.091055716;Unidad Sanitaria Pérez Millán;Unidad Sanitaria;Pérez Millán;Dis. Ministerio de Salud BA;66500041;50066652202721;665;RAMALLO;PEREZ MILLAN;Municipal;C.A.P.S;Dr. M. Manfredi S/N;03329-492497;IV;2933;Unidad Sanitaria Pérez Millán;Sin internación;
33.00;-33.49005370;-60.007010535;Hospital J. M. Gomendio;Hospital;J. M. Gomendio;Dis. Ministerio de Salud BA;66500016;10066652200326;665;RAMALLO;RAMALLO;Municipal;Hospital;J. M. Gomendio N° 1374;03407-421555/1336;IV;2915;Hospital J. M. Gomendio;Con Internación;administrahospital@intercom.ar
34.00;-33.50527158;-60.072716966;Unidad Sanitaria Villa Ramallo;Unidad Sanitaria;Villa Ramallo;Dis. Ministerio de Salud BA;66500130;50066652202898;665;RAMALLO;VILLA RAMALLO;Municipal;C.A.P.S;Brown S/N e/ 25 dr Mayo y María de Alvear;03407-489288;IV;2914;Unidad Sanitaria Villa Ramallo;Sin internación;
35.00;-33.43660865;-60.148168766;Unidad Sanitaria Villa Gral. Savio;Unidad Sanitaria;Villa Gral. Savio;Dis. Ministerio de Salud BA;66500113;50066652201900;665;RAMALLO;VILLA GENERAL SAVIO;Municipal;C.A.P.S;Roque Saenz Peña N° 165;-;IV;2912;Unidad Sanitaria Villa General Savio;Sin internación;
36.00;-33.50802847;-60.068790553;C.P.A.(Centro Provincial de Atención)-Adicciones;C.P.A.;Centro Provincial de Atención)-Adicciones;Dis. Ministerio de Salud BA;66500296;50066652116391;665;RAMALLO;VILLA RAMALLO;Provincial;Salud Mental - Adicciones;Alte. Brown e/ 25 de Mayo y M. de Alvear s/n - Unidad Sanitaria;03407-489288;IV;2914;C.P.A.(Centro Provincial de Atención)-Adicciones;Sin internación;
37.00;-33.49104909;-60.015949899;Unidad Sanitaria Dr. S. Cucurullú;Unidad Sanitaria;Dr. S. Cucurullú;Dis. Ministerio de Salud BA;66500148;50066652202195;665;RAMALLO;VILLA RAMALLO;Municipal;C.A.P.S;Dr. S. Curullú S/N;-;IV;2914;UNIDAD SANITARIA DR. S. CUCURULLÚ;Sin internación;
38.00;-33.89125859;-60.591379725;C.A.P.S. 12 de Octubre;C.A.P.S.;12 de Octubre;Dis. Ministerio de Salud BA;62300322;50066232202921;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Florida y Dean Funes Bo. 12 de Octubre;02477-442947;IV;2700;Centro de Atención Primaria 12 de Octubre;Sin internación;
39.00;-33.88116573;-60.577877056;C.A.P.S. Raúl Arballo;C.A.P.S.;Raúl Arballo;Dis. Ministerio de Salud BA;62300438;50066232202749;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Conscripto Silva N° 648;02477-435570;IV;2700;Centro de Atención Primaria Raúl Arballo;Sin internación;
40.00;-33.86410375;-60.571312800;C.A.P.S. Otero;C.A.P.S.;Otero;Dis. Ministerio de Salud BA;62300268;50066232201796;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Calle 101 S/N Bo. Otero;02477-442280;IV;2700;Centro de Atención Primaria Otero;Sin internación;
41.00;-33.87641013;-60.559209797;C.A.P.S. Dr. I. Viglierchio;C.A.P.S.;Dr. I. Viglierchio;Dis. Ministerio de Salud BA;62300381;50066232202254;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Chilavert N° 202 Bo. Viglierchio;02477-436283;IV;2700;Centro de Atención Primaria Dr. Italo Viglierchio;Sin internación;
42.00;-33.87736279;-60.570350964;C.A.P.S. San José;C.A.P.S.;San José;Dis. Ministerio de Salud BA;62300349;50066232201903;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Chiclana N° 1380 Bo. San José;02477-430019;IV;2700;Centro de Atención Primaria San José;Sin internación;
43.00;-33.88650669;-60.563873411;C.A.P.S. Bo. Acevedo;C.A.P.S.;Bo. Acevedo;Dis. Ministerio de Salud BA;62300365;50066232201088;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;A. Raimundo N° 186 Bo. Acevedo;02477-434693;IV;2700;Centro de Atención Primaria Barrio Acevedo;Sin internación;
44.00;-33.89109766;-60.540134347;C.A.P.S. Villa Alicia;C.A.P.S.;Villa Alicia;Dis. Ministerio de Salud BA;62300331;50066232201119;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Calle 13 y 18 Villa Alicia;02477-442917;IV;2700;Centro de Atención Primaria Villa Alicia;Sin internación;
45.00;-33.90353238;-60.547074474;C.A.P.S. Dra. S. Fernández;C.A.P.S.;Dra. S. Fernández;Dis. Ministerio de Salud BA;62300306;50066232215010;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Dr. Ojenola N° 2079 Bo. 25 de Mayo;02477-437653;IV;2700;Centro de Atención Primaria Dra. Sonia Fernández;Sin internación;
46.00;-33.91558652;-60.563083741;C.A.P.S. John Kennedy;C.A.P.S.;John Kennedy;Dis. Ministerio de Salud BA;62300292;50066232202095;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;R. Guiraldes S/N Bo. Kennedy;02477-430015;IV;2700;Centro de Atención Primaria Kennedy;Sin internación;
47.00;-33.66255615;-60.709132022;C.A.P.S. El Socorro;C.A.P.S.;El Socorro;Dis. Ministerio de Salud BA;62300021;50066232201825;623;PERGAMINO;VILLA ANGELICA;Municipal;C.A.P.S;Zona Rural El Socorro;02477-495069;IV;2715;Centro de Atención Primaria El Socorro;Sin internación;
48.00;-33.83020808;-60.487980657;C.A.P.S. J. A. de la Peña;C.A.P.S.;J. A. de la Peña;Dis. Ministerio de Salud BA;62300314;50066232201879;623;PERGAMINO;JUAN A. DE LA PEÑA;Municipal;C.A.P.S;Ruta 188 S/N;02477-440510;IV;2717;Centro de Atención Primaria J. A. De La Peña;Sin internación;
49.00;-33.75328688;-60.440771411;C.A.P.S. Acevedo Pueblo;C.A.P.S.;Acevedo Pueblo;Dis. Ministerio de Salud BA;62300012;50066232201088;623;PERGAMINO;ACEVEDO;Municipal;C.A.P.S;Av. Centenario S/N;02477-482004;IV;2717;Centro de Atención Primaria Acevedo Pueblo;Sin internación;
50.00;-33.67292485;-60.401702645;C.A.P.S. Guerrico;C.A.P.S.;Guerrico;Dis. Ministerio de Salud BA;62300039;50066232201834;623;PERGAMINO;GUERRICO;Municipal;C.A.P.S;Av. Alberti N°247;02477-498166;IV;2717;Centro de Atención Primaria Guerrico;Sin internación;
51.00;-33.73171228;-60.166841986;C.A.P.S. La Violeta;C.A.P.S.;La Violeta;Dis. Ministerio de Salud BA;62300047;50066232201846;623;PERGAMINO;LA VIOLETA;Municipal;C.A.P.S;Rivadavia S/N La Violeta;02477-495050;IV;2751;Centro de Atención Primaria La Violeta;Sin internación;
52.00;-33.92669234;-60.379677559;C.A.P.S. Urquiza;C.A.P.S.;Urquiza;Dis. Ministerio de Salud BA;62300152;50066232201894;623;PERGAMINO;URQUIZA;Municipal;C.A.P.S;Formosa N° 623;02477-499103;IV;2718;Centro de Atención Primaria Urquiza;Sin internación;
53.00;-34.03083708;-60.503120482;C.A.P.S. Rancagua;C.A.P.S.;Rancagua;Dis. Ministerio de Salud BA;62300136;50066232201881;623;PERGAMINO;RANCAGUA;Municipal;C.A.P.S;Elizalde S/N;02477-493007;IV;2700;Centro de Atención Primaria Rancagua;Sin internación;
54.00;-33.91327212;-60.840192758;C.A.P.S. M. H. Alfonso;C.A.P.S.;M. H. Alfonso;Dis. Ministerio de Salud BA;62300250;50066232201859;623;PERGAMINO;MARIANO H. ALFONZO;Municipal;C.A.P.S;Av. San Martín S/N;02477-496014;IV;2718;Centro de Atención Primaria Mariano H. Alfonzo;Sin internación;
55.00;-33.76154885;-60.652840541;C.A.P.S. Manuel Ocampo;C.A.P.S.;Manuel Ocampo;Dis. Ministerio de Salud BA;62300055;50066232201857;623;PERGAMINO;MANUEL OCAMPO;Municipal;C.A.P.S;Ferreyra S/N;02477-494281;IV;2718;Centro de Atención Primaria Manuel Ocampo;Sin internación;
56.00;-33.89243661;-60.548237960;C.A.P.S. Fontezuela;C.A.P.S.;Fontezuela;Dis. Ministerio de Salud BA;62300519;50066232216369;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Calle 5 entre 8 y 6;;IV;2700;Centro de Atención Primaria Fontezuela;Sin internación;
57.00;-33.88408822;-60.569924017;C.A.P.S. 2 de Abril;C.A.P.S.;2 de Abril;Dis. Ministerio de Salud BA;62300497;50066232202947;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Pico N° 621;;IV;2700;Centro de Atención Primaria 2 de Abril;Sin internación;
58.00;-33.90406198;-60.590595412;C.A.P.S. S. Maza;C.A.P.S.;S. Maza;Dis. Ministerio de Salud BA;62300501;53066232303250;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Balboa y V. Lopez;;IV;2700;Centro de Atención Primaria S. Maza;Sin internación;
59.00;-33.89778807;-60.594691138;C.A.P.S. R. Carrillo;C.A.P.S.;R. Carrillo;Dis. Ministerio de Salud BA;62300390;50066232201159;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Dean Funes y Costa Rica Bo. Guemes;02477-436925;IV;2700;Centro de Atención Primaria Ramón Carrillo;Sin internación;
60.00;-33.88515036;-60.592560032;C.A.P.S. Virgen de Luján;C.A.P.S.;Virgen de Luján;Dis. Ministerio de Salud BA;62300284;50066232202691;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;J. Anolles y 1° de Abril Bo. ATEPAN;02477-436574;IV;2700;Centro de Atención Primaria Virgen de Luján;Sin internación;
61.00;-33.90828332;-60.556640848;C.A.P.S. Dr. O. Bustos;C.A.P.S.;Dr. O. Bustos;Dis. Ministerio de Salud BA;62300276;50066232201151;623;PERGAMINO;PERGAMINO;Municipal;C.A.P.S;Colodrero N° 1500 Bo. José Hernandez;02477-430040;IV;2700;Centro de Atención Primaria Dr. Oscar Bustos;Sin internación;
62.00;-33.70852575;-60.583115292;C.A.P.S. M. Benítez;C.A.P.S.;M. Benítez;Dis. Ministerio de Salud BA;62300063;50066232201858;623;PERGAMINO;MARIANO BENITEZ;Municipal;C.A.P.S;Zona Rural Mariano Benitez;02477-480506;IV;2701;Centro de Atención Primaria Mariano Benítez;Sin internación;
63.00;-33.91037045;-60.585141329;Hosp. Interz. Gral. de Ag. San José;Hosp. Interz.;Gral. de Ag. San José;Dis. Ministerio de Salud BA;62300101;10066232100236;623;PERGAMINO;PERGAMINO;Provincial;Hospital;Liniers N° 950;02477-429792 al 99/9;IV;2700;Hospital Interzonal Gral. de Agudos San José;Con Internación;
64.00;-33.99347754;-60.731434182;C.A.P.S. Pinzón;C.A.P.S.;Pinzón;Dis. Ministerio de Salud BA;62300128;50066232201157;623;PERGAMINO;PIAZON;Municipal;C.A.P.S;Av. 2 y 9 de Julio;02477-483005;IV;2700;Centro de Atención Primaria Pinzón;Sin internación;
65.00;-33.90973534;-60.587146594;C.P.A.(Centro Provincial de Atención)-Adicciones;C.P.A.;(Centro Provincial de Atención)-Adicciones;Dis. Ministerio de Salud BA;62300594;50066232119703;623;PERGAMINO;PERGAMINO;Provincial;Salud Mental - Adicciones;Liniers N° 950;02477-463552;IV;2700;C.P.A.(Centro Provincial de Atención)-Adicciones;Sin internación;
67.00;-33.67336408;-59.679333356;Centro de Salud 1º de Mayo;Centro de Salud;1º de Mayo;Dis. Ministerio de Salud BA;77000198;50067702201387;770;SAN PEDRO;SAN PEDRO;Municipal;C.A.P.S;Bvard. Moreno y Benefactora Sampedrino;03329-424002;IV;2930;Centro de Salud 1° de Mayo;Sin internación;
68.00;-33.68511093;-59.672453190;Hosp. Subz. Gral. Dr. E. Ruffo;Hosp. Subz.;Gral. Dr. E. Ruffo;Dis. Ministerio de Salud BA;77000074;10067702200368;770;SAN PEDRO;SAN PEDRO;Municipal;Hospital;25 de Mayo N° 1901;03329-425207/2587;IV;2930;Hospital Subzonal General Dr. E. Ruffo;Con Internación;hso.sanpedro@resdp.com.ar
69.00;-33.69623120;-59.676439647;Centro de Salud Los Aromos;Centro de Salud;Los Aromos;Dis. Ministerio de Salud BA;77000228;50067702201259;770;SAN PEDRO;SAN PEDRO;Municipal;C.A.P.S;Esquíu y Rivadavia Bo. Los Aromos;03329-423707;IV;2930;Centro de Salud Los Aromos;Sin internación;
70.00;-34.56185412;-58.678426138;Hospital  Municipal San Miguel Arcángel;Hospital  Municipal;San Miguel Arcángel;Dis. Ministerio de Salud BA;76001969;10067602217952;760;SAN MIGUEL;BELLA VISTA;Municipal;Hospital;Mattaldi Nº 1057;;V;1661;Hospital Municipal San Miguel Arcángel;Con Internación;
71.00;-34.65379999;-59.430893715;Hogar Geriátrico Clotilde;Hogar;Geriátrico Clotilde;Dis. Ministerio de Salud BA;53200404;15065322217768;532;MERCEDES;MERCEDES;Municipal;Geriátrico;25 Nº 370;;X;6600;Hogar Geriátrico Clotilde Villa Abrille;Sin internación;
72.00;-33.68665162;-59.659127218;Centro de Salud Mateo Sberg;Centro de Salud;Mateo Sberg;Dis. Ministerio de Salud BA;77000201;50067702201265;770;SAN PEDRO;SAN PEDRO;Municipal;C.A.P.S;Joaquín V. González N° 1230;03329-424070;IV;2930;Centro de Salud Mateo Sbert;Sin internación;
73.00;-33.66748338;-59.674364587;Centro de Salud Las Canaletas;Centro de Salud;Las Canaletas;Dis. Ministerio de Salud BA;77000171;50067702201256;770;SAN PEDRO;LAS CANALETAS;Municipal;C.A.P.S;Juan Ismael Giménez N° 1600;03329-423524;IV;2930;CENTRO DE SALUD LAS CANALETAS;Sin internación;
74.00;-33.65500463;-59.867979729;Hosp. Local 26 de Julio;Hosp. Local;26 de Julio;Dis. Ministerio de Salud BA;77000015;10067702200223;770;SAN PEDRO;GOBERNADOR CASTRO;Municipal;Hospital;Tucumán N° 117;03329-493400;IV;2946;Hospital Local 26 de Julio;Con Internación;
75.00;-33.76865401;-59.637988906;Centro de Salud Dr. Aran Río Tala;Centro de Salud;Dr. Aran Río Tala;Dis. Ministerio de Salud BA;77000031;50067702219584;770;SAN PEDRO;RIO TALA;Municipal;C.A.P.S;Mitre S/N;03329-498346;IV;2930;Centro de Salud Dr. Arana Río Tala;Con Internación;aramos@sanpedro.gob.ar
76.00;-33.90303125;-59.815346954;Centro de Salud Pueblo Doyle;Centro de Salud;Pueblo Doyle;Dis. Ministerio de Salud BA;77000163;50067702201342;770;SAN PEDRO;SANTA LUCIA;Municipal;C.A.P.S;Ruta 191 Km. 27;-;IV;2935;Centro de Salud Pueblo Doyle;Sin internación;
77.00;-33.87896830;-59.881344863;Hospital  Santa Lucía;Hospital;Santa Lucía;Dis. Ministerio de Salud BA;77000082;10067702200355;770;SAN PEDRO;SANTA LUCIA;Municipal;Hospital;San Lorenzo N° 250;03329-491370;IV;2935;Hospital Santa Lucía;Con Internación;
78.00;-33.59789557;-59.818140270;Centro de Salud Vuelta de Obligado;Centro de Salud;Vuelta de Obligado;Dis. Ministerio de Salud BA;77000023;50067702201384;770;SAN PEDRO;VUELTA DE OBLIGADO;Municipal;C.A.P.S;Calle 25 e/ 13 y 14;03329-423089;IV;2930;Centro de Salud Vuelta de Obligado;Sin internación;
79.00;-33.68509082;-59.672435701;Centro de Salud y Medicina del Deporte;Centro de Salud;y Medicina del Deporte;Dis. Ministerio de Salud BA;77000155;10067702200368;770;SAN PEDRO;SAN PEDRO;Municipal;Hospital;25 de Mayo N° 1901;03329-425207;IV;2930;Hospital Subzonal Medicina del Deporte;Sin internación;
241.00;-34.58656089;-60.940011099;Unidad Sanitaria N° 11 Dr. Hector Dana;Unidad Sanitaria;N° 11 Dr. Hector Dana;Dis. Ministerio de Salud BA;41300799;50064132215023;413;JUNIN;JUNIN;Municipal;C.A.P.S;Borges y Pellegrini;;III;6000;Unidad Sanitaria N° 11 Dr. Hector Dana;Sin internación;
80.00;-33.68981804;-59.644618338;Centro de Salud Villa Depieti;Centro de Salud;Villa Depieti;Dis. Ministerio de Salud BA;77000180;50067702201370;770;SAN PEDRO;SAN PEDRO;Municipal;C.A.P.S;San Martín N° 2765;-;IV;2930;Centro de Salud Villa Depietri;Sin internación;
